Number,lat,lon,ele,time,AQI,GSR
398,51.52897346,-0.006809417,7.409499238,15:01:20,104,245
399,51.52903075,-0.006799039,7.598619477,15:01:25,100,248
400,51.52908684,-0.006797527,7.755387511,15:01:29,100,244
401,51.52913713,-0.006782276,7.42626596,15:01:34,104,248
402,51.52918863,-0.006763501,6.369015776,15:01:40,103,246
403,51.5292377,-0.006773775,6.376325247,15:01:45,101,248
404,51.52928624,-0.006784722,6.240028439,15:01:50,105,253
405,51.52934021,-0.006778898,6.781435031,15:01:55,101,249
406,51.52938687,-0.006765254,6.895131871,15:01:59,96,248
407,51.52943356,-0.006757366,7.334963422,15:02:03,95,243
408,51.52947955,-0.006760753,7.091226662,15:02:08,94,243
409,51.52952493,-0.00676356,6.480143149,15:02:14,96,241
410,51.52958167,-0.006771494,6.246313303,15:02:19,91,238
411,51.52962679,-0.006773675,6.342687732,15:02:24,94,239
412,51.5296721,-0.006776001,6.359780676,15:02:28,95,234
413,51.52971872,-0.006774279,6.085594253,15:02:33,95,232
414,51.52977286,-0.006760068,6.298371414,15:02:37,94,234
415,51.52982418,-0.006747459,6.762027289,15:02:41,91,236
416,51.52987163,-0.006773444,6.443290102,15:02:44,95,239
417,51.52991567,-0.006795979,6.561901886,15:02:49,97,237
418,51.52996089,-0.006783464,6.684377491,15:02:53,100,235
419,51.52999108,-0.006729685,6.963975187,15:06:38,105,236
420,51.52995312,-0.006770823,7.913009763,15:13:00,103,235
421,51.53001202,-0.006800595,5.448780697,15:18:18,104,230
422,51.53006467,-0.006813553,6.100003315,15:18:25,106,228
423,51.53011113,-0.006821226,5.355880462,15:18:30,109,225
424,51.53015738,-0.006805401,4.635179552,15:18:36,104,228
425,51.53020509,-0.006794369,6.228332585,15:18:41,105,224
426,51.53025873,-0.006795825,6.541809698,15:18:47,100,228
427,51.53030682,-0.006802137,6.341122804,15:18:53,97,228
428,51.53035454,-0.006811894,6.430553483,15:18:59,99,227
429,51.53040412,-0.006801307,6.209386616,15:19:03,94,224
430,51.53045202,-0.006745365,6.640814683,15:19:07,99,222
431,51.530494,-0.006713565,6.287896748,15:19:11,98,223
432,51.53053816,-0.006676875,6.365040316,15:19:15,99,222
433,51.5305895,-0.006634225,6.237949109,15:19:20,102,227
434,51.53064026,-0.006661622,6.341282239,15:19:25,97,232
435,51.530683,-0.006705648,6.134457061,15:19:30,97,229
436,51.53072947,-0.006736997,5.46497849,15:19:35,94,229
437,51.53076948,-0.006776831,5.966193408,15:19:42,92,228
438,51.53081703,-0.006759285,5.407070317,15:19:47,95,228
439,51.53086338,-0.006749761,5.661755947,15:19:52,98,228
440,51.53090797,-0.006759752,5.228124576,15:19:56,102,223
441,51.53096104,-0.006786751,5.126622375,15:20:01,105,228
442,51.5310033,-0.006818593,5.345961697,15:20:05,103,231
443,51.53104535,-0.006848042,5.55639026,15:20:09,108,235
444,51.53108772,-0.006883582,5.104372935,15:20:13,106,236
445,51.53113876,-0.006918555,5.381681423,15:20:20,108,238
446,51.53117337,-0.006965564,5.620743381,15:20:26,104,243
447,51.53122045,-0.00697182,5.681784382,15:20:30,108,241
448,51.53126273,-0.007002338,5.503908186,15:20:35,108,241
449,51.53131146,-0.007034951,4.927031634,15:20:40,108,244
450,51.53136369,-0.007062172,4.71474957,15:20:46,104,244
451,51.53141181,-0.007083092,5.329210825,15:20:51,100,243
452,51.53146469,-0.007087443,5.910875212,15:20:56,105,245
453,51.53150773,-0.007109016,5.462918154,15:21:00,110,243
